year,utilityNumber,utilityName,state,part,serviceType,dataType,ownership,baCode,resRev,resSales,resCust,resPrice,comRev,comSales,comCust,comPrice,indRev,indSales,indCust,indPrice,transRev,transSales,transCust,transPrice,totalRev,totalSales,totalCust,totalPrice
1999,7563,Grand Valley Rrl Pwr Line Inc,CO,,,,,,7246,84243,9599,8.6,2887,35396,1219,8.16,124,1745,3,7.11,30,156,47,19.23,10395,122668,10934,8.47
1999,7826,Gunnison City of,CO,,,,,,1167,21609,2814,5.4,1624,33906,730,4.79,0,0,0,,14,296,1,4.73,2812,55909,3642,5.03
1999,7787,Gunnison County Elec Assn Inc,CO,,,,,,4514,58224,6680,7.75,2285,34297,1141,6.66,551,10064,5,5.47,16,196,3,8.16,7366,102781,7829,7.17
1999,7300,Glenwood Springs City of,CO,,,,,,2075,28183,3838,7.36,4676,66055,1040,7.08,0,0,0,,74,999,1,7.41,6848,95437,5117,7.18
1999,7478,Granada Town of,CO,,,,,,119,1407,224,8.46,67,904,42,7.41,0,0,0,,13,244,11,5.33,233,3107,291,7.5
1999,8570,Highline Electric Assn,CO,,,,,,2838,41656,4646,6.81,2671,47530,983,5.62,2381,50531,2,4.71,10,163,5,6.13,16279,257258,7503,6.33
1999,8311,Haxtun Town of,CO,,,,,,408,6837,467,5.97,54,892,120,6.05,0,0,0,,0,0,0,,462,7729,587,5.98
1999,6418,Fleming Town of,CO,,,,,,112,1322,180,8.47,25,661,40,3.78,0,0,0,,0,0,0,,137,1983,220,6.91
1999,5862,Empire Electric Assn Inc,CO,,,,,,6378,79230,10394,8.05,3200,38393,2004,8.33,9176,254894,105,3.6,92,625,4,14.72,18920,373928,12574,5.06
1999,5997,Estes Park Town of,CO,,,,,,3535,52807,7104,6.69,3239,52332,1428,6.19,0,0,0,,53,849,19,6.24,6938,107788,8588,6.44
1999,6610,Fort Morgan City of,CO,,,,,,1891,44104,4772,4.29,3918,86582,915,4.53,2657,69619,1,3.82,28,212,157,13.21,8669,205121,5915,4.23
1999,6604,Fort Collins City of,CO,,,,,,21270,355594,43439,5.98,22084,415065,5504,5.32,14240,361611,13,3.94,104,2406,1,4.32,57698,1134676,48957,5.08
1999,6752,Frederick Town of,CO,,,,,,431,5731,713,7.52,462,6409,86,7.21,306,5500,10,5.56,18,55,2,32.73,1217,17695,811,6.88
1999,6638,Fountain City of,CO,,,,,,5517,85535,11319,6.45,3636,67333,904,5.4,0,0,0,,108,3213,1,3.36,9261,156081,12224,5.93
1999,10633,Lamar City of,CO,,,,,,2538,31944,4372,7.95,3155,46374,728,6.8,358,4993,8,7.17,106,742,26,14.29,6670,90207,5733,7.39
1999,10730,Las Animas City of,CO,,,,,,623,9238,1580,6.74,589,9028,258,6.52,14,210,2,6.67,23,380,2,6.05,1945,28379,2147,6.85
1999,10539,La Plata Electric Assn Inc,CO,,,,,,15729,194493,25476,8.09,14957,190236,4311,7.86,16244,403367,11,4.03,256,1788,86,14.32,47298,790895,29983,5.98
1999,10536,La Junta City of,CO,,,,,,1508,17666,2623,8.54,1037,11232,990,9.23,2389,32772,67,7.29,158,1241,2,12.73,5092,62911,3682,8.09
1999,11256,Loveland City of,CO,,,,,,8830,149523,20111,5.91,2909,56506,2449,5.15,10564,265365,203,3.98,0,0,0,,22312,471492,22879,4.73
1999,11376,Lyons Town of,CO,,,,,,329,4840,665,6.8,172,2920,103,5.89,0,0,0,,0,0,0,,548,8471,788,6.47
1999,11187,Longmont City of,CO,,,,,,12188,204043,26186,5.97,13384,301419,3393,4.44,4030,98597,8,4.09,0,0,0,,29602,604059,29587,4.9
1999,9336,Intermountain Rural Elec Assn,CO,,,,,,60295,769038,78798,7.84,24592,364732,6645,6.74,3545,65276,21,5.43,452,3723,16,12.14,89182,1207637,85730,7.38
1999,8777,Holyoke City of,CO,,,,,,487,10482,950,4.65,153,3326,175,4.6,219,4604,18,4.76,0,0,0,,906,19770,1193,4.58
1999,8773,Holy Cross Electric Assn Inc,CO,,,,,,29730,418890,36655,7.1,20485,358190,6919,5.72,3403,55000,13,6.19,65,1080,20,6.02,53722,833733,43638,6.44
1999,8751,Holly City of,CO,,,,,,233,2953,515,7.89,267,3519,180,7.59,0,0,0,,10,148,1,6.76,534,6863,751,7.78
1999,10066,K C Electric Assn,CO,,,,,,2915,36609,3786,7.96,3991,55413,1356,7.2,3094,63943,959,4.84,50,659,10,7.59,10050,156624,6111,6.42
1999,9928,Julesburg City of,CO,,,,,,364,4437,701,8.2,378,4621,154,8.18,0,0,0,,28,376,1,7.45,770,9434,856,8.16
1999,2550,Burlington City of,CO,,,,,,820,9221,1262,8.89,200,2147,196,9.32,1210,15739,88,7.69,0,0,0,,2343,28369,1547,8.26
1999,918,Aspen City of,CO,,,,,,1416,15824,1678,8.95,2515,35350,801,7.11,4,48,4,8.33,2,31,3,6.45,4112,58678,2487,7.01
1999,5086,Delta Montrose Electric Assn,CO,,,,,,15251,192586,22839,7.92,4045,51983,2445,7.78,10456,196464,199,5.32,252,1653,29,15.25,30214,444763,25584,6.79
1999,5036,Delta City of,CO,,,,,,1000,12500,1923,8,654,8500,390,7.69,1181,17000,39,6.95,39,435,8,8.97,2974,40035,2386,7.43
1999,3227,Center City of,CO,,,,,,302,4969,822,6.08,130,2251,144,5.78,369,6955,61,5.31,0,0,0,,801,14175,1027,5.65
1999,3989,Colorado Springs City of,CO,,,,,,73610,1128256,152279,6.52,67370,1254000,20164,5.37,56472,1347000,222,4.19,3996,28000,715,14.27,206641,3879256,173717,5.33
1999,19204,Trinidad City of,CO,,,,,,1578,20179,3934,7.82,1776,21683,711,8.19,0,0,0,,107,1360,1,7.87,3495,43817,4831,7.98
1999,19160,Tri-County Electric Coop Inc,CO,,,,,,4,20,4,20,11,147,37,7.48,0,0,0,,0,0,0,,15,167,41,8.98
1999,17834,Springfield City of,CO,,,,,,376,5102,781,7.37,197,2545,185,7.74,177,2760,14,6.41,0,0,0,,776,10930,1076,7.1
1999,17592,Southeast Colorado Power Assn,CO,,,,,,5750,54875,7230,10.48,5724,76286,2434,7.5,1062,13562,5,7.83,51,282,13,18.09,12587,145005,9682,8.68
1999,17715,Southwestern Electric Coop Inc,CO,,,,,,5,39,8,12.82,1,11,1,9.09,0,0,0,,0,0,0,,6,50,9,12
1999,21143,Yuma City of,CO,,,,,,710,9380,1250,7.57,850,11450,280,7.42,0,0,0,,0,0,0,,1560,20830,1530,7.49
1999,21081,Yampa Valley Electric Assn Inc,CO,,,,,,11611,162037,17136,7.17,10809,148358,3224,7.29,7285,112505,12,6.48,185,1214,7,15.24,29985,425416,20459,7.05
1999,21075,Y-W Electric Assn Inc,CO,,,,,,3265,42830,4687,7.62,15002,221925,3116,6.76,0,0,0,,55,647,119,8.5,18322,265402,7922,6.9
1999,21021,Wray City of,CO,,,,,,625,7545,993,8.28,894,11349,234,7.88,0,0,0,,0,0,0,,1519,18894,1227,8.04
1999,40230,Deseret Generation & Tran Coop,CO,,,,,,0,0,0,,0,0,0,,785,22439,1,3.5,0,0,0,,785,22439,1,3.5
1999,27058,High West Energy Inc,CO,,,,,,343,5076,568,6.76,176,2656,64,6.63,170,2771,86,6.13,4,35,1,11.43,871,13460,737,6.47
1999,27000,Western Area Power Admin,CO,,,,,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,1738,92920,13,1.87
1999,19499,United Power Inc,CO,,,,,,18721,248249,26685,7.54,14423,226773,4651,6.36,6690,143539,73,4.66,303,2716,110,11.16,41130,635678,32245,6.47
1999,20510,Wheatland Electric Coop Inc,CO,,,,,,27,233,37,11.59,17,108,14,15.74,0,0,0,,1,6,1,16.67,45,347,52,12.97
1999,20576,White River Electric Assn Inc,CO,,,,,,1128,15462,2126,7.3,1138,16689,516,6.82,4804,88179,7,5.45,0,0,0,,7083,120460,2688,5.88
1999,13058,Mountain View Elec Assn Inc,CO,,,,,,21348,254700,25221,8.38,6184,91952,2002,6.73,3192,78376,11,4.07,79,933,24,8.47,31215,431070,27499,7.24
1999,13050,Mountain Parks Electric Inc,CO,,,,,,7072,105984,11579,6.67,4811,84054,2610,5.72,843,20406,6,4.13,42,457,7,9.19,12795,211351,14204,6.05
1999,12866,Moon Lake Electric Assn Inc,CO,,,,,,764,11116,1449,6.87,6179,131273,1020,4.71,10669,261867,6,4.07,31,264,4,11.74,17643,404520,2479,4.36
1999,12860,Morgan County Rural Elec Assn,CO,,,,,,3531,46244,4010,7.64,1175,17180,784,6.84,1788,30429,106,5.88,13,145,2,8.97,11497,153254,6768,7.5
1999,12698,UtiliCorp United Inc,CO,,,,,,35151,484140,71241,7.26,31287,561656,8805,5.57,16987,406424,69,4.18,1583,10448,0,15.15,87424,1517589,80155,5.76
1999,15466,Public Service Co of Colorado,CO,,,,,,529463,7052920,981590,7.51,618638,11436253,129212,5.41,196231,4611645,312,4.26,27609,161604,83677,17.08,1375599,23337607,1194847,5.89
1999,16603,San Luis Valley R E C Inc,CO,,,,,,4141,48399,6955,8.56,1997,26359,793,7.58,9814,15448,6,63.53,5,52,2,9.62,22886,168806,10098,13.56
1999,16649,Sangre De Cristo Elec Assn Inc,CO,,,,,,5085,49782,7538,10.21,2085,27697,773,7.53,0,0,0,,28,260,14,10.77,7226,77985,8343,9.27
1999,16622,San Miguel Power Assn Inc,CO,,,,,,6491,69577,7912,9.33,5746,75085,1971,7.65,58,833,1,6.96,55,442,13,12.44,12407,146323,9939,8.48
1999,16616,San Isabel Electric Assn Inc,CO,,,,,,9742,100438,15256,9.7,5186,60309,2221,8.6,3165,96036,7,3.3,81,529,35,15.31,18174,257312,17519,7.06
1999,15257,Poudre Valley R E A Inc,CO,,,,,,16084,249464,24835,6.45,7563,105210,2287,7.19,9952,282412,3,3.52,13,178,17,7.3,34460,646967,27814,5.33
1999,14054,Oak Creek Town of,CO,,,,,,209,2790,456,7.49,122,1622,60,7.52,0,0,0,,0,0,0,,331,4412,516,7.5
2000,7787,Gunnison County Elec Assn Inc,CO,,,,,,4761,61506,6832,7.74,2373,35819,1145,6.62,472,7849,5,6.01,17,209,3,8.13,7623,105383,7985,7.23
2000,7563,Grand Valley Rrl Pwr Line Inc,CO,,,,,,7835,91830,9969,8.53,3286,40392,1320,8.14,184,3112,3,5.91,30,155,47,19.35,11467,136855,11412,8.38
2000,7300,Glenwood Springs City of,CO,,,,,,2128,28669,3939,7.42,5118,72002,1049,7.11,0,0,0,,83,1043,1,7.96,7352,101914,5227,7.21
2000,7478,Granada Town of,CO,,,,,,131,1574,227,8.32,86,1473,36,5.84,0,0,0,,4,9,2,44.44,237,3355,275,7.06
2000,8311,Haxtun Town of,CO,,,,,,384,7258,507,5.29,113,176,83,64.2,0,0,0,,0,0,0,,497,7434,590,6.69
2000,8570,Highline Electric Assn,CO,,,,,,2935,43121,4690,6.81,2772,48757,982,5.69,2389,57248,2,4.17,11,168,5,6.55,18590,326361,7537,5.7
2000,7826,Gunnison City of,CO,,,,,,1163,21587,2869,5.39,1261,26252,704,4.8,231,6667,1,3.46,14,297,1,4.71,2788,57259,3702,4.87
2000,5862,Empire Electric Assn Inc,CO,,,,,,6613,82564,10591,8.01,3208,39645,2020,8.09,9575,270179,110,3.54,92,625,4,14.72,19590,394216,12800,4.97
2000,5997,Estes Park Town of,CO,,,,,,3543,52922,7215,6.69,3360,54606,1496,6.15,0,0,0,,53,852,19,6.22,7069,110200,8769,6.41
2000,6418,Fleming Town of,CO,,,,,,114,1424,183,8.01,23,671,37,3.43,0,0,0,,0,0,0,,137,2095,220,6.54
2000,6610,Fort Morgan City of,CO,,,,,,2298,45468,4756,5.05,4772,96103,932,4.97,3084,71748,1,4.3,27,271,159,9.96,10338,217154,5914,4.76
2000,6604,Fort Collins City of,CO,,,,,,23238,389705,45475,5.96,23138,439025,5739,5.27,15069,380087,14,3.96,102,2358,1,4.33,61547,1211175,51229,5.08
2000,6752,Frederick Town of,CO,,,,,,643,8752,1256,7.35,606,7581,408,7.99,345,4253,19,8.11,23,2914,1,0.79,1617,23500,1684,6.88
2000,6638,Fountain City of,CO,,,,,,5869,91965,11248,6.38,769,12483,778,6.16,2924,52349,177,5.59,0,0,0,,9562,156797,12203,6.1
2000,10633,Lamar City of,CO,,,,,,2640,33337,4377,7.92,3334,48457,747,6.88,339,4532,8,7.48,106,743,26,14.27,7065,94984,5774,7.44
2000,10730,Las Animas City of,CO,,,,,,633,9426,1510,6.72,634,9833,276,6.45,14,209,3,6.7,25,371,4,6.74,1870,29337,2108,6.37
2000,10536,La Junta City of,CO,,,,,,1579,18612,2620,8.48,1064,11253,1027,9.46,2555,35186,68,7.26,158,1214,2,13.01,5356,66265,3717,8.08
2000,10539,La Plata Electric Assn Inc,CO,,,,,,16776,210914,26988,7.95,15295,196891,4533,7.77,18121,437922,12,4.14,258,1776,86,14.53,50611,849038,31724,5.96
2000,11256,Loveland City of,CO,,,,,,9669,165677,21198,5.84,3074,60883,2408,5.05,10910,273173,211,3.99,0,0,0,,23662,499830,23932,4.73
2000,11376,Lyons Town of,CO,,,,,,377,4753,816,7.93,202,2446,104,8.26,0,0,0,,0,0,0,,613,9123,944,6.72
2000,11187,Longmont City of,CO,,,,,,13375,224989,27634,5.94,14536,327301,3479,4.44,4028,105536,8,3.82,0,0,0,,31939,657826,31121,4.86
2000,9336,Intermountain Rural Elec Assn,CO,,,,,,68296,882845,85478,7.74,27263,409127,7122,6.66,4286,79388,25,5.4,477,4512,15,10.57,100704,1382131,92897,7.29
2000,8777,Holyoke City of,CO,,,,,,467,11089,950,4.21,136,3566,175,3.81,221,4763,18,4.64,0,0,0,,875,21033,1193,4.16
2000,8773,Holy Cross Electric Assn Inc,CO,,,,,,31087,438185,37891,7.09,21701,378874,7305,5.73,2926,53458,12,5.47,67,1106,20,6.06,55850,872643,45259,6.4
2000,8751,Holly City of,CO,,,,,,248,3138,523,7.9,275,3491,179,7.88,0,0,0,,10,148,1,6.76,555,7140,757,7.77
2000,10066,K C Electric Assn,CO,,,,,,2987,37929,3788,7.88,3176,55996,1369,5.67,5174,90981,968,5.69,50,661,10,7.56,11387,185567,6135,6.14
2000,9928,Julesburg City of,CO,,,,,,381,4666,699,8.17,366,4496,156,8.14,0,0,0,,27,368,1,7.34,774,9530,856,8.12
2000,2550,Burlington City of,CO,,,,,,908,10243,1309,8.86,231,2500,202,9.24,1232,15530,88,7.93,0,0,0,,2491,29610,1600,8.41
2000,918,Aspen City of,CO,,,,,,1509,21800,1690,6.92,2672,39000,799,6.85,4,53,4,7.55,188,3400,28,5.53,4380,64353,2529,6.81
2000,5036,Delta City of,CO,,,,,,1083,13590,1990,7.97,657,8380,402,7.84,1220,17540,41,6.96,146,430,8,33.95,3221,41830,2474,7.7
2000,5086,Delta Montrose Electric Assn,CO,,,,,,15870,200395,23492,7.92,4331,55487,2505,7.81,11049,213722,199,5.17,262,1740,33,15.06,31733,473546,26305,6.7
2000,3227,Center City of,CO,,,,,,304,4956,827,6.13,136,2325,147,5.85,387,7159,67,5.41,0,0,0,,827,14440,1041,5.73
2000,3989,Colorado Springs City of,CO,,,,,,78799,1183682,157638,6.66,73305,1353522,20632,5.42,60301,1392957,224,4.33,4014,28254,731,14.21,222406,4071202,179592,5.46
2000,19204,Trinidad City of,CO,,,,,,1575,20301,3679,7.76,1827,23243,629,7.86,0,0,0,,103,1360,1,7.57,3541,45479,4487,7.79
2000,19160,Tri-County Electric Coop Inc,CO,,,,,,9,117,8,7.69,10,91,30,10.99,0,0,0,,0,0,0,,19,208,38,9.13
2000,17834,Springfield City of,CO,,,,,,387,5315,768,7.28,207,2619,192,7.9,184,2860,14,6.43,0,0,0,,802,11384,1072,7.04
2000,17592,Southeast Colorado Power Assn,CO,,,,,,5888,56021,7274,10.51,6588,98374,2448,6.7,1291,18472,7,6.99,50,278,10,17.99,13817,173145,9739,7.98
2000,17715,Southwestern Electric Coop Inc,CO,,,,,,6,45,9,13.33,2,14,1,14.29,0,0,0,,0,0,0,,8,59,10,13.56
2000,21143,Yuma City of,CO,,,,,,738,10000,1268,7.38,922,12600,287,7.32,0,0,0,,0,0,0,,1660,22600,1555,7.35
2000,21081,Yampa Valley Electric Assn Inc,CO,,,,,,12116,168371,17694,7.2,11377,155001,3346,7.34,7487,114840,14,6.52,183,1315,7,13.92,31301,441573,21144,7.09
2000,21075,Y-W Electric Assn Inc,CO,,,,,,3387,44973,4705,7.53,16507,261086,3151,6.32,0,0,0,,55,641,118,8.58,19949,306700,7974,6.5
