year,month,state,dataStatus,residentialRevenue,residentialSales,residentialCustomers,residentialPrice,commercialRevenue,commercialSales,commercialCustomers,commercialPrice,industrialRevenue,industrialSales,industrialCustomers,industrialPrice,transportationRevenue,transportationSales,transportationCustomers,transportationPrice,otherRevenue,otherSales,otherCustomers,otherPrice,totalRevenue,totalSales,totalCustomers,totalPrice
1990,1,CO,Final,71325,1046805,,6.81,65130,1158963,,5.62,24488,545387,,4.49,,,,,4054,58780,,6.9,164996,2809935,,5.87
1990,2,CO,Final,59866,925315,,6.47,55779,1090136,,5.12,21595,526880,,4.1,,,,,3900,59198,,6.59,141140,2601529,,5.43
1990,3,CO,Final,60470,896254,,6.75,59278,1085215,,5.46,22824,527831,,4.32,,,,,3961,54967,,7.21,146533,2564267,,5.71
1990,4,CO,Final,56481,799898,,7.06,60614,1049917,,5.77,23821,526066,,4.53,,,,,3913,50106,,7.81,144829,2425988,,5.97
1990,5,CO,Final,54336,747651,,7.27,62544,1049234,,5.96,24339,527010,,4.62,,,,,4581,55081,,8.32,145801,2378977,,6.13
1990,6,CO,Final,53135,721876,,7.36,66437,1106374,,6,24763,527276,,4.7,,,,,6249,65756,,9.5,150583,2421282,,6.22
1990,7,CO,Final,55149,761436,,7.24,70513,1230847,,5.73,26588,579466,,4.59,,,,,11426,140673,,8.12,163676,2712421,,6.03
1990,8,CO,Final,53829,733880,,7.33,69583,1196183,,5.82,26028,565798,,4.6,,,,,6557,112039,,5.85,155996,2607900,,5.98
1990,9,CO,Final,51810,733318,,7.07,65979,1193378,,5.53,24981,566547,,4.41,,,,,5853,102634,,5.7,148622,2595878,,5.73
1990,10,CO,Final,52246,729053,,7.17,65061,1132344,,5.75,25999,579756,,4.48,,,,,4379,55740,,7.86,147684,2496892,,5.91
1990,11,CO,Final,55505,779931,,7.12,63372,1115251,,5.68,25945,572334,,4.53,,,,,4118,53362,,7.72,148940,2520878,,5.91
1990,12,CO,Final,62932,911862,,6.9,63742,1145183,,5.57,24417,542509,,4.5,,,,,4158,59088,,7.04,155249,2658642,,5.84
1991,1,CO,Final,76411,1111039,,6.88,68173,1212554,,5.62,25037,548821,,4.56,,,,,3947,56175,,7.03,173567,2928589,,5.93
1991,2,CO,Final,69743,972144,,7.17,67408,1134450,,5.94,25852,553901,,4.67,,,,,4126,57136,,7.22,167129,2717631,,6.15
1991,3,CO,Final,62282,890473,,6.99,62877,1113145,,5.65,24272,547850,,4.43,,,,,3901,53008,,7.36,153331,2604476,,5.89
1991,4,CO,Final,55838,822427,,6.79,58292,1075790,,5.42,22923,535418,,4.28,,,,,3901,51676,,7.55,140953,2485311,,5.67
1991,5,CO,Final,55670,760202,,7.32,63744,1076513,,5.92,25380,552794,,4.59,,,,,3990,50601,,7.89,148784,2440110,,6.1
1991,6,CO,Final,55028,730944,,7.53,70119,1136229,,6.17,26752,561154,,4.77,,,,,5022,59560,,8.43,156922,2487887,,6.31
1991,7,CO,Final,56909,764902,,7.44,72638,1213097,,5.99,27262,568563,,4.79,,,,,12276,118221,,10.38,169085,2664784,,6.35
1991,8,CO,Final,47851,771619,,6.2,57537,1209634,,4.76,23186,561510,,4.13,,,,,7683,142087,,5.41,136257,2684850,,5.08
1991,9,CO,Final,54055,760071,,7.11,69190,1191688,,5.81,26564,580147,,4.58,,,,,6046,103490,,5.84,155854,2635395,,5.91
1991,10,CO,Final,53557,725622,,7.38,66799,1113312,,6,27449,584198,,4.7,,,,,4150,55597,,7.46,151956,2478730,,6.13
1991,11,CO,Final,56136,806621,,6.96,61669,1094622,,5.63,26305,588126,,4.47,,,,,4353,61026,,7.13,148463,2550395,,5.82
1991,12,CO,Final,70367,983323,,7.16,68836,1170466,,5.88,26866,565697,,4.75,,,,,4312,59044,,7.3,170381,2778531,,6.13
1992,1,CO,Final,76685,1079741,,7.1,68596,1185387,,5.79,26073,555124,,4.7,,,,,4354,60195,,7.23,175708,2880447,,6.1
1992,2,CO,Final,66078,961704,,6.87,61484,1131582,,5.43,24456,564847,,4.33,,,,,4332,59497,,7.28,156350,2717631,,5.75
1992,3,CO,Final,62535,918614,,6.81,60228,1124107,,5.36,23461,548476,,4.28,,,,,4139,53239,,7.77,150363,2644436,,5.69
1992,4,CO,Final,56583,828551,,6.83,58019,1078888,,5.38,23141,542909,,4.26,,,,,4081,49853,,8.19,141824,2500200,,5.67
1992,5,CO,Final,55214,748417,,7.38,66200,1115653,,5.93,26670,576720,,4.62,,,,,4345,51578,,8.42,152428,2492368,,6.12
